corrected_grade,COURSE_NAME,COURSE_NUMBER,grade_type,inc_ovrdue?,inc_pfa?,inc_project?,LETTER_GRADE,stu_crs_lookup,STUDENT_ID,Max. ADDL_EXPECTED_PCNT,Max. COG_SKILL_PCNT,Max. CONCEPT_PCNT,Max. NUM_PROJECTS_OVERDUE,Max. OVERALL_SCORE,Max. POWER_EXPECTED_PCNT
I,DE-Math II,C220,project,TRUE,FALSE,FALSE,I,50773 C220,50773,20,80,93,1,84,100
I,DE-Physics,D300,project,TRUE,FALSE,FALSE,I,50773 D300,50773,42,92,,1,89,100
C+,DE-Spanish 2,E200,project,FALSE,FALSE,FALSE,C+,50773 E200,50773,0,,,0,79,100
F,Intermediate Visual Arts South Bay,F503,a_f_elec,TRUE,FALSE,FALSE,I,50773 F503,50773,100,88,,1,92,100
P,Game Programming - HS,I202,pnp_elec,FALSE,FALSE,FALSE,B,50773 I202,50773,100,78,,0,85,100
I,DE-Medieval History,A007,project,TRUE,TRUE,FALSE,I,50775 A007,50775,0,71,,3,56,28
I,DE-English 7,B007,project,FALSE,TRUE,FALSE,I,50775 B007,50775,0,78,,0,73,88
I,DE-Math 7,C007,project,FALSE,TRUE,FALSE,I,50775 C007,50775,0,70,73,0,56,28
I,DE-Integrated Science 7,D007,project,TRUE,FALSE,FALSE,I,50775 D007,50775,0,75,,2,74,100
P,DE-Intro to Design (MS),I023,pnp_elec,FALSE,FALSE,FALSE,C-,50775 I023,50775,100,,,0,70,100
,"3D Design, Printing & Computing (MS-E)",i1899,project,FALSE,FALSE,FALSE,,50775 i1899,50775,,,,0,,
A+,DE-Medieval History,A007,project,FALSE,FALSE,FALSE,A+,50776 A007,50776,100,100,,0,100,100
A+,DE-English 7,B007,project,FALSE,FALSE,FALSE,A+,50776 B007,50776,100,100,,0,100,100
A+,DE-Math 7,C007,project,FALSE,FALSE,FALSE,A+,50776 C007,50776,100,100,100,0,100,100
A+,DE-Integrated Science 7,D007,project,FALSE,FALSE,FALSE,A+,50776 D007,50776,100,98,,0,99,100
P,DE-Intro to Design (MS),I023,pnp_elec,FALSE,FALSE,FALSE,A+,50776 I023,50776,100,,,0,100,100
,"3D Design, Printing & Computing (MS-E)",i1899,project,FALSE,FALSE,FALSE,,50776 i1899,50776,,,,0,,
A+,DE-Medieval History,A007,project,FALSE,FALSE,FALSE,A+,50777 A007,50777,100,100,,0,100,100
A+,DE-English 7,B007,project,FALSE,FALSE,FALSE,A+,50777 B007,50777,100,100,,0,100,100
A+,DE-Math 7,C007,project,FALSE,FALSE,FALSE,A+,50777 C007,50777,100,97,100,0,99,100
A+,DE-Integrated Science 7,D007,project,FALSE,FALSE,FALSE,A+,50777 D007,50777,100,96,,0,97,100
,App Development (MS-E),I0166,pnp_elec,FALSE,FALSE,FALSE,,50777 I0166,50777,,,,0,,
,DE-Intro to Comp Sci (MS),I1107,pnp_elec,FALSE,FALSE,FALSE,N/A,50777 I1107,50777,100,,,0,,100
I,DE-Medieval History,A007,project,TRUE,TRUE,FALSE,I,50778 A007,50778,14,93,,3,84,85
I,DE-English 7,B007,project,FALSE,TRUE,FALSE,I,50778 B007,50778,0,84,,0,77,88
I,DE-Math 7,C007,project,TRUE,TRUE,FALSE,I,50778 C007,50778,0,,76,3,56,42
I,DE-Integrated Science 7,D007,project,TRUE,TRUE,FALSE,I,50778 D007,50778,0,88,,1,76,66
,DE-Intro to Comp Sci (MS),I1107,pnp_elec,FALSE,FALSE,FALSE,N/A,50778 I1107,50778,100,,,0,,100
,"3D Design, Printing & Computing (MS-E)",i1899,project,FALSE,FALSE,FALSE,,50778 i1899,50778,,,,0,,
I,DE-Medieval History,A007,project,TRUE,TRUE,FALSE,I,50779 A007,50779,0,,,4,,71
C,DE-English 7,B007,project,FALSE,FALSE,FALSE,C,50779 B007,50779,0,77,,0,75,100
I,DE-Math 7,C007,project,TRUE,TRUE,FALSE,I,50779 C007,50779,0,93,73,1,72,71
I,DE-Integrated Science 7,D007,project,TRUE,TRUE,FALSE,I,50779 D007,50779,0,81,,3,73,77
,DE-Intro to Design (MS),I023,pnp_elec,FALSE,FALSE,FALSE,,50779 I023,50779,,,,0,,
,DE-Intro to Comp Sci (MS),I1107,pnp_elec,FALSE,FALSE,FALSE,N/A,50779 I1107,50779,100,,,0,,100
A+,DE-Medieval History,A007,project,FALSE,FALSE,FALSE,A+,50780 A007,50780,85,100,,0,99,100
A+,DE-English 7,B007,project,FALSE,FALSE,FALSE,A+,50780 B007,50780,100,100,,0,100,100
A+,DE-Math 7,C007,project,FALSE,FALSE,FALSE,A+,50780 C007,50780,100,93,99,0,98,100
A+,DE-Integrated Science 7,D007,project,FALSE,FALSE,FALSE,A+,50780 D007,50780,100,95,,0,97,100
,App Development (MS-E),I0166,pnp_elec,FALSE,FALSE,FALSE,,50780 I0166,50780,,,,0,,
,DE-Intro to Comp Sci (MS),I1107,pnp_elec,FALSE,FALSE,FALSE,N/A,50780 I1107,50780,100,,,0,,100
I,DE-Medieval History,A007,project,TRUE,FALSE,FALSE,I,50781 A007,50781,71,98,,1,96,100
I,DE-English 7,B007,project,TRUE,FALSE,FALSE,I,50781 B007,50781,66,95,,1,94,100
C+,DE-Math 7,C007,project,FALSE,FALSE,FALSE,C+,50781 C007,50781,0,82,82,0,78,100
A-,DE-Integrated Science 7,D007,project,FALSE,FALSE,FALSE,A-,50781 D007,50781,100,89,,0,92,100
P,DE-Drama (MS),I007,pnp_elec,FALSE,FALSE,FALSE,A+,50781 I007,50781,100,,,0,100,100
,App Development (MS-E),I0166,pnp_elec,FALSE,FALSE,FALSE,,50781 I0166,50781,,,,0,,
C+,DE-Medieval History,A007,project,FALSE,FALSE,FALSE,C+,50782 A007,50782,0,82,,0,78,100
A,DE-English 7,B007,project,FALSE,FALSE,FALSE,A,50782 B007,50782,100,92,,0,94,100
B-,DE-Math 7,C007,project,FALSE,FALSE,FALSE,B-,50782 C007,50782,0,93,78,0,80,100
B+,DE-Integrated Science 7,D007,project,FALSE,FALSE,FALSE,B+,50782 D007,50782,66,86,,0,87,100
P,DE-Intro to Design (MS),I023,pnp_elec,FALSE,FALSE,FALSE,A+,50782 I023,50782,100,,,0,100,100
,App Development (MS-E),I0166,pnp_elec,FALSE,FALSE,FALSE,,50782 I0166,50782,,,,0,,
I,DE-Modern World 2,A200,project,TRUE,TRUE,FALSE,I,50783 A200,50783,0,,,4,,0
I,DE-English 10,B200,project,TRUE,TRUE,FALSE,I,50783 B200,50783,0,,,3,,0
I,DE-Math III,C320,project,TRUE,TRUE,TRUE,I,50783 C320,50783,0,,40,1,23,0
I,DE-Physics,D300,project,TRUE,TRUE,FALSE,I,50783 D300,50783,0,,,4,,0
I,DE-Spanish 1,E100,project,TRUE,TRUE,FALSE,I,50783 E100,50783,0,,,5,,0
I,Entrepreneurship,G022,a_f_elec,FALSE,TRUE,FALSE,I,50783 G022,50783,100,,,0,,0
NP,Game Programming - HS,I202,pnp_elec,TRUE,TRUE,FALSE,I,50783 I202,50783,100,,,3,,0
A,DE-Modern World 2,A200,project,FALSE,FALSE,FALSE,A,50785 A200,50785,50,97,,0,93,100
A+,DE-English 10,B200,project,FALSE,FALSE,FALSE,A+,50785 B200,50785,100,96,,0,97,100
A,DE-Math III,C320,project,FALSE,FALSE,FALSE,A,50785 C320,50785,100,,87,0,93,100
A+,DE-Physics,D300,project,FALSE,FALSE,FALSE,A+,50785 D300,50785,100,96,,0,97,100
A-,DE-Spanish 2,E200,project,FALSE,FALSE,FALSE,A-,50785 E200,50785,20,,,0,91,100
A,Intermediate Visual Arts South Bay,F503,a_f_elec,FALSE,FALSE,FALSE,A,50785 F503,50785,100,93,,0,95,100
A+,AP Computer Science A (E),G104,a_f_elec,FALSE,FALSE,FALSE,A+,50785 G104,50785,100,,,0,100,100
A+,DE-Modern World 2,A200,project,FALSE,FALSE,FALSE,A+,50786 A200,50786,100,99,,0,99,100
A+,DE-English 10,B200,project,FALSE,FALSE,FALSE,A+,50786 B200,50786,100,99,,0,99,100
A-,DE-Math III,C320,project,FALSE,FALSE,FALSE,A-,50786 C320,50786,100,,86,0,92,100
A+,DE-Physics,D300,project,FALSE,FALSE,FALSE,A+,50786 D300,50786,100,96,,0,97,100
A+,DE-Spanish 2,E200,project,FALSE,FALSE,FALSE,A+,50786 E200,50786,100,,,0,97,100
P,Internship,I139,pnp_elec,FALSE,FALSE,FALSE,A,50786 I139,50786,100,91,,0,94,100
I,DE-Medieval History,A007,project,TRUE,TRUE,TRUE,I,50787 A007,50787,0,67,,1,59,57
I,DE-English 7,B007,project,FALSE,TRUE,FALSE,I,50787 B007,50787,0,74,,0,66,66
I,DE-Math 7,C007,project,TRUE,TRUE,TRUE,I,50787 C007,50787,0,80,67,1,66,71
I,DE-Integrated Science 7,D007,project,TRUE,TRUE,TRUE,I,50787 D007,50787,0,64,,2,61,77
,DE-Intro to Comp Sci (MS),I1107,pnp_elec,FALSE,FALSE,FALSE,N/A,50787 I1107,50787,100,,,0,,100
,"3D Design, Printing & Computing (MS-E)",i1899,project,FALSE,FALSE,FALSE,,50787 i1899,50787,,,,0,,
I,DE-Medieval History,A007,project,FALSE,TRUE,FALSE,I,50789 A007,50789,0,94,,0,84,85
B,DE-English 7,B007,project,FALSE,FALSE,FALSE,B,50789 B007,50789,0,92,,0,85,100
C,DE-Math 7,C007,project,FALSE,FALSE,FALSE,C,50789 C007,50789,0,73,79,0,75,100
B+,DE-Integrated Science 7,D007,project,FALSE,FALSE,FALSE,B+,50789 D007,50789,0,95,,0,88,100
,DE-Intro to Design (MS),I023,pnp_elec,FALSE,FALSE,FALSE,,50789 I023,50789,,,,0,,
,DE-Intro to Comp Sci (MS),I1107,pnp_elec,FALSE,FALSE,FALSE,N/A,50789 I1107,50789,100,,,0,,100
B,DE-Modern World 2,A200,project,FALSE,FALSE,FALSE,B,50791 A200,50791,7,88,,0,83,100
B-,DE-English 10,B200,project,FALSE,FALSE,FALSE,B-,50791 B200,50791,0,85,,0,81,100
C+,DE-Math II,C220,project,FALSE,FALSE,FALSE,C+,50791 C220,50791,20,75,82,0,78,100
I,DE-Physics,D300,project,FALSE,TRUE,FALSE,I,50791 D300,50791,0,87,,0,77,75
C,DE-Spanish 2,E200,project,FALSE,FALSE,FALSE,C,50791 E200,50791,0,,,0,76,100
A-,Exploring Music,F512,a_f_elec,FALSE,FALSE,FALSE,A-,50791 F512,50791,100,88,,0,92,100
A+,Holocaust History,G1055,a_f_elec,FALSE,FALSE,FALSE,A+,50791 G1055,50791,100,100,,0,100,100
I,DE-Medieval History,A007,project,TRUE,TRUE,FALSE,I,50792 A007,50792,0,75,,3,56,14
I,DE-English 7,B007,project,TRUE,TRUE,TRUE,I,50792 B007,50792,0,61,,1,59,77
I,DE-Math 7,C007,project,TRUE,TRUE,TRUE,I,50792 C007,50792,0,,50,4,41,42
I,DE-Integrated Science 7,D007,project,TRUE,FALSE,FALSE,I,50792 D007,50792,0,76,,3,74,100
P,DE-Intro to Design (MS),I023,pnp_elec,FALSE,FALSE,FALSE,A+,50792 I023,50792,100,,,0,100,100
,"3D Design, Printing & Computing (MS-E)",i1899,project,FALSE,FALSE,FALSE,,50792 i1899,50792,,,,0,,
I,DE-Medieval History,A007,project,TRUE,FALSE,FALSE,I,50793 A007,50793,0,77,,2,75,100
I,DE-English 7,B007,project,FALSE,FALSE,TRUE,I,50793 B007,50793,33,69,,0,72,100
I,DE-Math 7,C007,project,TRUE,TRUE,TRUE,I,50793 C007,50793,0,70,58,2,62,85
C,DE-Integrated Science 7,D007,project,FALSE,FALSE,FALSE,C,50793 D007,50793,0,76,,0,74,100
,DE-Intro to Comp Sci (MS),I1107,pnp_elec,FALSE,FALSE,FALSE,N/A,50793 I1107,50793,100,,,0,,100
,3-Dimensional Art & Design (MS-E),I1900,pnp_elec,FALSE,FALSE,FALSE,,50793 I1900,50793,,,,0,,
I,DE-Medieval History,A007,project,TRUE,TRUE,FALSE,I,50794 A007,50794,0,92,,1,73,42
I,DE-English 7,B007,project,TRUE,TRUE,FALSE,I,50794 B007,50794,0,90,,1,79,77
C,DE-Math 7,C007,project,FALSE,FALSE,FALSE,C,50794 C007,50794,0,80,74,0,75,100
I,DE-Integrated Science 7,D007,project,TRUE,TRUE,FALSE,I,50794 D007,50794,0,77,,1,70,77
,DE-Intro to Design (MS),I023,pnp_elec,FALSE,FALSE,FALSE,,50794 I023,50794,,,,0,,
,DE-Intro to Comp Sci (MS),I1107,pnp_elec,FALSE,FALSE,FALSE,N/A,50794 I1107,50794,100,,,0,,100
I,DE-Medieval History,A007,project,TRUE,FALSE,FALSE,I,50795 A007,50795,100,70,,2,79,100
A,DE-English 7,B007,project,FALSE,FALSE,FALSE,A,50795 B007,50795,100,91,,0,94,100
I,DE-Math 7,C007,project,TRUE,TRUE,FALSE,I,50795 C007,50795,0,97,79,1,76,71
I,DE-Integrated Science 7,D007,project,TRUE,FALSE,FALSE,I,50795 D007,50795,100,90,,1,93,100
,DE-Intro to Comp Sci (MS),I1107,pnp_elec,FALSE,FALSE,FALSE,N/A,50795 I1107,50795,100,,,0,,100
,3-Dimensional Art & Design (MS-E),I1900,pnp_elec,FALSE,FALSE,FALSE,,50795 I1900,50795,,,,0,,
A-,DE-Medieval History,A007,project,FALSE,FALSE,FALSE,A-,50796 A007,50796,14,99,,0,92,100
A-,DE-English 7,B007,project,FALSE,FALSE,FALSE,A-,50796 B007,50796,0,99,,0,90,100
B,DE-Math 7,C007,project,FALSE,FALSE,FALSE,B,50796 C007,50796,0,100,88,0,86,100
B+,DE-Integrated Science 7,D007,project,FALSE,FALSE,FALSE,B+,50796 D007,50796,33,93,,0,89,100
P,DE-Intro to Design (MS),I023,pnp_elec,FALSE,FALSE,FALSE,A+,50796 I023,50796,100,,,0,100,100
,3-Dimensional Art & Design (MS-E),I1900,pnp_elec,FALSE,FALSE,FALSE,,50796 I1900,50796,,,,0,,
A,DE-Medieval History,A007,project,FALSE,FALSE,FALSE,A,50798 A007,50798,42,100,,0,95,100
A+,DE-English 7,B007,project,FALSE,FALSE,FALSE,A+,50798 B007,50798,100,96,,0,97,100
A+,DE-Math 7,C007,project,FALSE,FALSE,FALSE,A+,50798 C007,50798,100,100,97,0,99,100
A+,DE-Integrated Science 7,D007,project,FALSE,FALSE,FALSE,A+,50798 D007,50798,66,100,,0,97,100
P,DE-Intro to Design (MS),I023,pnp_elec,FALSE,FALSE,FALSE,A+,50798 I023,50798,100,,,0,100,100
,App Development (MS-E),I0166,pnp_elec,FALSE,FALSE,FALSE,,50798 I0166,50798,,,,0,,
I,DE-Medieval History,A007,project,TRUE,TRUE,FALSE,I,50799 A007,50799,0,84,,1,71,57
I,DE-English 7,B007,project,FALSE,TRUE,FALSE,I,50799 B007,50799,0,80,,0,75,88
I,DE-Math 7,C007,project,TRUE,TRUE,TRUE,I,50799 C007,50799,0,,66,1,59,71
I,DE-Integrated Science 7,D007,project,FALSE,TRUE,FALSE,I,50799 D007,50799,0,85,,0,78,88
P,DE-Intro to Design (MS),I023,pnp_elec,FALSE,FALSE,FALSE,B-,50799 I023,50799,100,,,0,80,100
,3-Dimensional Art & Design (MS-E),I1900,pnp_elec,FALSE,FALSE,FALSE,,50799 I1900,50799,,,,0,,
I,DE-Medieval History,A007,project,TRUE,TRUE,FALSE,I,50800 A007,50800,0,94,,3,69,14
I,DE-English 7,B007,project,TRUE,TRUE,FALSE,I,50800 B007,50800,0,86,,1,72,55
I,DE-Math 7,C007,project,TRUE,TRUE,TRUE,I,50800 C007,50800,0,,63,3,40,14
I,DE-Integrated Science 7,D007,project,TRUE,TRUE,FALSE,I,50800 D007,50800,0,89,,2,69,33
,DE-Intro to Design (MS),I023,pnp_elec,FALSE,FALSE,FALSE,,50800 I023,50800,,,,0,,
,DE-Intro to Comp Sci (MS),I1107,pnp_elec,FALSE,FALSE,FALSE,N/A,50800 I1107,50800,100,,,0,,100
B-,DE-Medieval History,A007,project,FALSE,FALSE,FALSE,B-,50801 A007,50801,57,77,,0,80,100
A-,DE-English 7,B007,project,FALSE,FALSE,FALSE,A-,50801 B007,50801,100,85,,0,90,100
B-,DE-Math 7,C007,project,FALSE,FALSE,FALSE,B-,50801 C007,50801,100,75,72,0,81,100
A-,DE-Integrated Science 7,D007,project,FALSE,FALSE,FALSE,A-,50801 D007,50801,100,88,,0,92,100
,DE-Intro to Comp Sci (MS),I1107,pnp_elec,FALSE,FALSE,FALSE,N/A,50801 I1107,50801,100,,,0,,100
,"3D Design, Printing & Computing (MS-E)",i1899,project,FALSE,FALSE,FALSE,,50801 i1899,50801,,,,0,,
A+,DE-Modern World 2,A200,project,FALSE,FALSE,FALSE,A+,50802 A200,50802,85,98,,0,97,100
A+,DE-English 10,B200,project,FALSE,FALSE,FALSE,A+,50802 B200,50802,100,99,,0,99,100
A+,DE-Math III,C320,project,FALSE,FALSE,FALSE,A+,50802 C320,50802,100,,98,0,99,100
A,DE-Physics,D300,project,FALSE,FALSE,FALSE,A,50802 D300,50802,100,93,,0,95,100
A+,DE-Spanish 2,E200,project,FALSE,FALSE,FALSE,A+,50802 E200,50802,80,,,0,98,100
A+,Exploring Music,F512,a_f_elec,FALSE,FALSE,FALSE,A+,50802 F512,50802,100,100,,0,100,100
A+,Intro to Programming,G103,a_f_elec,FALSE,FALSE,FALSE,A+,50802 G103,50802,100,100,,0,100,100
A,DE-US History,A008,project,FALSE,FALSE,FALSE,A,50803 A008,50803,100,91,,0,94,100
A,DE-English 8,B008,project,FALSE,FALSE,FALSE,A,50803 B008,50803,100,91,,0,94,100
A,DE-Math 8,C008,project,FALSE,FALSE,FALSE,A,50803 C008,50803,100,,91,0,95,100
A,DE-Integrated Science 8,D008,project,FALSE,FALSE,FALSE,A,50803 D008,50803,100,91,,0,94,100
P,DE-Intro to Design (MS),I024,pnp_elec,FALSE,FALSE,FALSE,A+,50803 I024,50803,100,,,0,100,100
,"3D Design, Printing & Computing (MS-E)",i1899,project,FALSE,FALSE,FALSE,,50803 i1899,50803,,,,0,,
I,DE-Medieval History,A007,project,TRUE,FALSE,FALSE,I,50804 A007,50804,71,93,,1,93,100
B,DE-English 7,B007,project,FALSE,FALSE,FALSE,B,50804 B007,50804,66,82,,0,84,100
B,DE-Math 7,C007,project,FALSE,FALSE,FALSE,B,50804 C007,50804,66,93,78,0,86,100
A-,DE-Integrated Science 7,D007,project,FALSE,FALSE,FALSE,A-,50804 D007,50804,100,88,,0,92,100
NP,DE-Drama (MS),I007,pnp_elec,FALSE,FALSE,FALSE,I,50804 I007,50804,100,,,0,60,100
,"3D Design, Printing & Computing (MS-E)",i1899,project,FALSE,FALSE,FALSE,,50804 i1899,50804,,,,0,,
A,DE-Medieval History,A007,project,FALSE,FALSE,FALSE,A,50805 A007,50805,85,95,,0,95,100
A+,DE-English 7,B007,project,FALSE,FALSE,FALSE,A+,50805 B007,50805,100,100,,0,100,100
A,DE-Math 7,C007,project,FALSE,FALSE,FALSE,A,50805 C007,50805,100,93,96,0,96,100
A,DE-Integrated Science 7,D007,project,FALSE,FALSE,FALSE,A,50805 D007,50805,100,94,,0,96,100
P,DE-Intro to Design (MS),I023,pnp_elec,FALSE,FALSE,FALSE,A+,50805 I023,50805,100,,,0,100,100
,App Development (MS-E),I0166,pnp_elec,FALSE,FALSE,FALSE,,50805 I0166,50805,,,,0,,
A+,DE-Medieval History,A007,project,FALSE,FALSE,FALSE,A+,50806 A007,50806,100,100,,0,100,100
A+,DE-English 7,B007,project,FALSE,FALSE,FALSE,A+,50806 B007,50806,100,100,,0,100,100
A+,DE-Math 7,C007,project,FALSE,FALSE,FALSE,A+,50806 C007,50806,100,100,100,0,100,100
A+,DE-Integrated Science 7,D007,project,FALSE,FALSE,FALSE,A+,50806 D007,50806,100,97,,0,98,100
,DE-Intro to Comp Sci (MS),I1107,pnp_elec,FALSE,FALSE,FALSE,N/A,50806 I1107,50806,100,,,0,,100
,3-Dimensional Art & Design (MS-E),I1900,pnp_elec,FALSE,FALSE,FALSE,,50806 I1900,50806,,,,0,,
B,DE-Medieval History,A007,project,FALSE,FALSE,FALSE,B,50808 A007,50808,0,89,,0,83,100
I,DE-English 7,B007,project,FALSE,TRUE,FALSE,I,50808 B007,50808,0,79,,0,74,88
C-,DE-Math 7,C007,project,FALSE,FALSE,FALSE,C-,50808 C007,50808,0,75,71,0,72,100
B,DE-Integrated Science 7,D007,project,FALSE,FALSE,FALSE,B,50808 D007,50808,0,88,,0,83,100
,DE-Intro to Design (MS),I023,pnp_elec,FALSE,FALSE,FALSE,,50808 I023,50808,,,,0,,
,DE-Intro to Comp Sci (MS),I1107,pnp_elec,FALSE,FALSE,FALSE,N/A,50808 I1107,50808,100,,,0,,100
B+,DE-Medieval History,A007,project,FALSE,FALSE,FALSE,B+,50810 A007,50810,14,95,,0,89,100
A+,DE-English 7,B007,project,FALSE,FALSE,FALSE,A+,50810 B007,50810,100,96,,0,97,100
A,DE-Math 7,C007,project,FALSE,FALSE,FALSE,A,50810 C007,50810,100,93,88,0,93,100
A+,DE-Integrated Science 7,D007,project,FALSE,FALSE,FALSE,A+,50810 D007,50810,100,99,,0,99,100
P,DE-Drama (MS),I007,pnp_elec,FALSE,FALSE,FALSE,A+,50810 I007,50810,100,,,0,100,100
,"3D Design, Printing & Computing (MS-E)",i1899,project,FALSE,FALSE,FALSE,,50810 i1899,50810,,,,0,,
A-,DE-Medieval History,A007,project,FALSE,FALSE,FALSE,A-,50812 A007,50812,28,98,,0,92,100
B,DE-English 7,B007,project,FALSE,FALSE,FALSE,B,50812 B007,50812,33,89,,0,86,100
B-,DE-Math 7,C007,project,FALSE,FALSE,FALSE,B-,50812 C007,50812,33,93,74,0,82,100
B+,DE-Integrated Science 7,D007,project,FALSE,FALSE,FALSE,B+,50812 D007,50812,33,93,,0,89,100
P,DE-Intro to Design (MS),I023,pnp_elec,FALSE,FALSE,FALSE,A+,50812 I023,50812,100,,,0,100,100
,3-Dimensional Art & Design (MS-E),I1900,pnp_elec,FALSE,FALSE,FALSE,,50812 I1900,50812,,,,0,,
A,DE-Modern World 2,A200,project,FALSE,FALSE,FALSE,A,50813 A200,50813,50,99,,0,95,100
A,DE-English 10,B200,project,FALSE,FALSE,FALSE,A,50813 B200,50813,50,99,,0,95,100
A-,DE-Math II,C220,project,FALSE,FALSE,FALSE,A-,50813 C220,50813,60,85,97,0,91,100
A-,DE-Physics,D300,project,FALSE,FALSE,FALSE,A-,50813 D300,50813,57,91,,0,90,100
A,DE-Spanish 2,E200,project,FALSE,FALSE,FALSE,A,50813 E200,50813,40,,,0,93,100
A-,Intermediate Visual Arts South Bay,F503,a_f_elec,FALSE,FALSE,FALSE,A-,50813 F503,50813,100,89,,0,92,100
P,Psychology Exploration - DE,I1103,pnp_elec,FALSE,FALSE,FALSE,A-,50813 I1103,50813,0,100,,0,91,100
A,DE-Medieval History,A007,project,FALSE,FALSE,FALSE,A,50814 A007,50814,42,100,,0,95,100
A+,DE-English 7,B007,project,FALSE,FALSE,FALSE,A+,50814 B007,50814,100,100,,0,100,100
A,DE-Math 7,C007,project,FALSE,FALSE,FALSE,A,50814 C007,50814,100,93,89,0,94,100
A+,DE-Integrated Science 7,D007,project,FALSE,FALSE,FALSE,A+,50814 D007,50814,100,97,,0,98,100
,DE-Intro to Comp Sci (MS),I1107,pnp_elec,FALSE,FALSE,FALSE,N/A,50814 I1107,50814,100,,,0,,100
,"3D Design, Printing & Computing (MS-E)",i1899,project,FALSE,FALSE,FALSE,,50814 i1899,50814,,,,0,,
I,DE-Medieval History,A007,project,FALSE,TRUE,FALSE,I,50815 A007,50815,14,88,,0,81,85
I,DE-English 7,B007,project,TRUE,TRUE,FALSE,I,50815 B007,50815,33,83,,1,80,88
I,DE-Math 7,C007,project,FALSE,TRUE,FALSE,I,50815 C007,50815,0,70,71,0,64,71
B,DE-Integrated Science 7,D007,project,FALSE,FALSE,FALSE,B,50815 D007,50815,0,88,,0,83,100
P,DE-Intro to Design (MS),I023,pnp_elec,FALSE,FALSE,FALSE,C-,50815 I023,50815,100,,,0,70,100
,App Development (MS-E),I0166,pnp_elec,FALSE,FALSE,FALSE,,50815 I0166,50815,,,,0,,
B+,DE-Medieval History,A007,project,FALSE,FALSE,FALSE,B+,50816 A007,50816,0,96,,0,88,100
I,DE-English 7,B007,project,FALSE,TRUE,FALSE,I,50816 B007,50816,0,77,,0,73,88
I,DE-Math 7,C007,project,FALSE,TRUE,TRUE,I,50816 C007,50816,0,63,76,0,67,85
I,DE-Integrated Science 7,D007,project,TRUE,TRUE,FALSE,I,50816 D007,50816,0,84,,1,77,88
,DE-Intro to Design (MS),I023,pnp_elec,FALSE,FALSE,FALSE,,50816 I023,50816,,,,0,,
,DE-Intro to Comp Sci (MS),I1107,pnp_elec,FALSE,FALSE,FALSE,N/A,50816 I1107,50816,100,,,0,,100
A+,DE-US History,A008,project,FALSE,FALSE,FALSE,A+,50818 A008,50818,100,100,,0,100,100
A+,DE-English 8,B008,project,FALSE,FALSE,FALSE,A+,50818 B008,50818,100,97,,0,98,100
A+,DE-Math 8,C008,project,FALSE,FALSE,FALSE,A+,50818 C008,50818,100,,100,0,100,100
A+,DE-Integrated Science 8,D008,project,FALSE,FALSE,FALSE,A+,50818 D008,50818,100,97,,0,98,100
NP,DE-Intro to Comp Sci (MS),I1108,pnp_elec,FALSE,FALSE,FALSE,I,50818 I1108,50818,100,,,0,0,100
,"3D Design, Printing & Computing (MS-E)",i1899,project,FALSE,FALSE,FALSE,,50818 i1899,50818,,,,0,,
I,DE-Medieval History,A007,project,TRUE,TRUE,FALSE,I,50819 A007,50819,0,88,,1,71,42
C-,DE-English 7,B007,project,FALSE,FALSE,FALSE,C-,50819 B007,50819,0,70,,0,70,100
I,DE-Math 7,C007,project,TRUE,TRUE,TRUE,I,50819 C007,50819,0,,66,3,51,42
I,DE-Integrated Science 7,D007,project,TRUE,TRUE,FALSE,I,50819 D007,50819,0,81,,1,73,77
,DE-Intro to Comp Sci (MS),I1107,pnp_elec,FALSE,FALSE,FALSE,N/A,50819 I1107,50819,100,,,0,,100
,"3D Design, Printing & Computing (MS-E)",i1899,project,FALSE,FALSE,FALSE,,50819 i1899,50819,,,,0,,
A,DE-Modern World 2,A200,project,FALSE,FALSE,FALSE,A,50820 A200,50820,71,93,,0,93,100
A,DE-English 10,B200,project,FALSE,FALSE,FALSE,A,50820 B200,50820,100,94,,0,96,100
B-,DE-Math II,C220,project,FALSE,FALSE,FALSE,B-,50820 C220,50820,40,75,85,0,81,100
B-,DE-Physics,D300,project,FALSE,FALSE,FALSE,B-,50820 D300,50820,57,79,,0,81,100
A-,DE-Spanish 1,E100,project,FALSE,FALSE,FALSE,A-,50820 E100,50820,100,,,0,90,100
A+,Sociology of Law,G102,a_f_elec,FALSE,FALSE,FALSE,A+,50820 G102,50820,100,100,,0,100,100
NP,Psychology Exploration - DE,I1103,pnp_elec,TRUE,FALSE,FALSE,I,50820 I1103,50820,100,93,,1,95,100
A-,DE-Medieval History,A007,project,FALSE,FALSE,FALSE,A-,50821 A007,50821,42,94,,0,91,100
A-,DE-English 7,B007,project,FALSE,FALSE,FALSE,A-,50821 B007,50821,100,85,,0,90,100
B-,DE-Math 7,C007,project,FALSE,FALSE,FALSE,B-,50821 C007,50821,33,78,83,0,81,100
B-,DE-Integrated Science 7,D007,project,FALSE,FALSE,FALSE,B-,50821 D007,50821,33,82,,0,81,100
,App Development (MS-E),I0166,pnp_elec,FALSE,FALSE,FALSE,,50821 I0166,50821,,,,0,,
,DE-Intro to Comp Sci (MS),I1107,pnp_elec,FALSE,FALSE,FALSE,N/A,50821 I1107,50821,100,,,0,,100
A-,DE-Medieval History,A007,project,FALSE,FALSE,FALSE,A-,50822 A007,50822,42,93,,0,90,100
