corrected_grade,COURSE_NAME,COURSE_NUMBER,grade_type,inc_ovrdue?,inc_pfa?,inc_project?,LETTER_GRADE,stu_crs_lookup,STUDENT_ID,Max. ADDL_EXPECTED_PCNT,Max. COG_SKILL_PCNT,Max. CONCEPT_PCNT,Max. NUM_PROJECTS_OVERDUE,Max. OVERALL_SCORE,Max. POWER_EXPECTED_PCNT
B,RA-AP English Language,B300,project,FALSE,FALSE,FALSE,B,30559 B300,30559,100,78,,0,85,100
C,RA-AP Calculus AB,C400,project,FALSE,FALSE,FALSE,C,30559 C400,30559,20,84,71,0,76,100
B,RA-Chemistry 11th,D200,project,FALSE,FALSE,FALSE,B,30559 D200,30559,33,84,,0,83,100
A-,RA-Spanish 3,E300,project,FALSE,FALSE,FALSE,A-,30559 E300,30559,50,,,0,92,100
A+,Exploring Music,F512,a_f_elec,FALSE,FALSE,FALSE,A+,30559 F512,30559,100,100,,0,100,100
P,College Readiness- CA,I136,pnp_elec,FALSE,FALSE,FALSE,B+,30559 I136,30559,100,83,,0,88,100
,Teaching Assistant (all courses) (E),I136,pnp_elec,FALSE,FALSE,FALSE,,30559 I136,30559,,,,0,,
A,RA-AP US History,A300,project,FALSE,FALSE,FALSE,A,30560 A300,30560,69,94,,0,93,100
A,RA-AP English Language,B300,project,FALSE,FALSE,FALSE,A,30560 B300,30560,100,90,,0,93,100
A-,RA-AP Calculus AB,C400,project,FALSE,FALSE,FALSE,A-,30560 C400,30560,80,93,85,0,90,100
A,RA-Chemistry 11th,D200,project,FALSE,FALSE,FALSE,A,30560 D200,30560,50,99,,0,95,100
A+,RA-Spanish 3,E300,project,FALSE,FALSE,FALSE,A+,30560 E300,30560,66,,,0,97,100
P,College Readiness- CA,I136,pnp_elec,FALSE,FALSE,FALSE,A,30560 I136,30560,100,93,,0,95,100
,Teaching Assistant (all courses) (E),I136,pnp_elec,FALSE,FALSE,FALSE,,30560 I136,30560,,,,0,,
P,Education Pathways,I191,pnp_elec,FALSE,FALSE,FALSE,A+,30560 I191,30560,100,97,,0,98,100
I,RA-AP US History,A300,project,FALSE,TRUE,FALSE,I,30563 A300,30563,46,85,,0,83,93
B-,RA-AP English Language,B300,project,FALSE,FALSE,FALSE,B-,30563 B300,30563,66,78,,0,82,100
C+,RA-Math III,C320,project,FALSE,FALSE,FALSE,C+,30563 C320,30563,0,81,79,0,77,100
I,RA-Chemistry 11th,D200,project,FALSE,TRUE,FALSE,I,30563 D200,30563,33,83,,0,80,91
P,College Readiness- CA,I136,pnp_elec,FALSE,FALSE,FALSE,A,30563 I136,30563,100,90,,0,93,100
,Teaching Assistant (all courses) (E),I136,pnp_elec,FALSE,FALSE,FALSE,,30563 I136,30563,,,,0,,
P,Modern Acting & Theater (E),I267,pnp_elec,FALSE,FALSE,FALSE,A+,30563 I267,30563,100,,,0,100,100
B-,RA-AP US History,A300,project,FALSE,FALSE,FALSE,B-,30566 A300,30566,23,83,,0,81,100
B-,RA-AP English Language,B300,project,FALSE,FALSE,FALSE,B-,30566 B300,30566,100,74,,0,82,100
C+,RA-Math III,C320,project,FALSE,FALSE,FALSE,C+,30566 C320,30566,14,81,81,0,79,100
I,RA-Chemistry 11th,D200,project,FALSE,TRUE,FALSE,I,30566 D200,30566,16,87,,0,82,91
I,RA-Spanish 3,E300,project,TRUE,TRUE,FALSE,I,30566 E300,30566,33,,,1,81,83
P,College Readiness- CA,I136,pnp_elec,FALSE,FALSE,FALSE,B,30566 I136,30566,100,77,,0,84,100
,Teaching Assistant (all courses) (E),I136,pnp_elec,FALSE,FALSE,FALSE,,30566 I136,30566,,,,0,,
