corrected_grade,COURSE_NAME,COURSE_NUMBER,date_of_pull,grade_type,inc_reason,LETTER_GRADE,SIS_SECTION_ID,stu_crs_lookup,STUDENT_ID,Max. ADDL_EXPECTED_PCNT,Max. COG_SKILL_PCNT,Max. CONCEPT_PCNT,Max. NUM_PROJECTS_OVERDUE,Max. OVERALL_SCORE,Max. POWER_EXPECTED_PCNT
A-,SP-AP Environmental Science,D430,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,76891_2017-08-15,11519 D430,11519,61,90,,0,90,100
P,Internship,I139,6/15/2018 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B-,81179_2017-08-15,11519 I139,11519,100,72,,0,80,100
C,SP-AP Government,A400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C,76810_2017-08-15,11520 A400,11520,0,76,,0,74,100
B+,SP-AP English Literature,B400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B+,76850_2017-08-15,11520 B400,11520,0,94,,0,87,100
C-,SP-AP Statistics,C420,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C-,76813_2017-08-15,11520 C420,11520,0,70,73,0,71,100
C,SP-AP Environmental Science,D430,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C,76802_2017-08-15,11520 D430,11520,0,79,,0,76,100
A+,Advanced Journalism,G200,6/15/2018 12:00:00 AM,a_f_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,81184_2017-08-15,11520 G200,11520,100,100,,0,100,100
A+,Multimedia Journalism,G299,6/15/2018 12:00:00 AM,a_f_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,81167_2017-08-15,11520 G299,11520,100,100,,0,100,100
C-,SP-AP Government,A400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C-,76810_2017-08-15,11521 A400,11521,0,72,,0,71,100
C-,SP-AP English Literature,B400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C-,76868_2017-08-15,11521 B400,11521,0,70,,0,70,100
C,SP-AP Statistics,C420,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C,76846_2017-08-15,11521 C420,11521,0,85,72,0,75,100
C-,SP-AP Environmental Science,D430,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C-,76802_2017-08-15,11521 D430,11521,0,70,,0,70,100
C-,SP-AP Environmental Science,D430,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C-,76833_2017-08-15,11521 D430,11521,0,70,,0,70,100
P,Internship,I139,6/15/2018 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C+,81179_2017-08-15,11521 I139,11521,100,70,,0,79,100
C,SP-AP Government,A400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C,76810_2017-08-15,11522 A400,11522,20,73,,0,74,100
B-,SP-AP English Literature,B400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B-,76844_2017-08-15,11522 B400,11522,66,75,,0,80,100
C,SP-AP Statistics,C420,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C,76813_2017-08-15,11522 C420,11522,16,79,70,0,74,100
B,SP-AP Environmental Science,D430,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,76802_2017-08-15,11522 D430,11522,46,83,,0,83,100
B,SP-AP Environmental Science,D430,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,76833_2017-08-15,11522 D430,11522,46,83,,0,83,100
A,Entrepreneurship,G022,6/15/2018 12:00:00 AM,a_f_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,81158_2017-08-15,11522 G022,11522,100,93,,0,95,100
P,Adulting 101,I300,6/15/2018 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,81157_2017-08-15,11522 I300,11522,33,97,,0,92,100
